==1519835== NVPROF is profiling process 1519835, command: ./RN 1
==1519835== Profiling application: ./RN 1
==1519835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.56581s  132.42us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [230]
2.56599s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.56601s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.56603s  113.51us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [233]
2.56615s  135.87us            (256 1 1)       (32 32 1)        21        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA_split(float*, float*, float*, int, int) [234]
2.56628s  66.368us            (256 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [235]
2.59773s  86.881us                    -               -         -         -         -  512.00KB  5.6201GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.59782s  3.6977ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [259]
2.60159s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.60163s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.60164s  61.632us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [262]
2.60194s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.60199s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.60199s  41.408us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [265]
2.60950s  23.840us                    -               -         -         -         -  128.00KB  5.1204GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.60953s  981.48us            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [267]
2.61058s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.61062s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.61063s  20.032us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [270]
2.61076s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.61080s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.61081s  12.064us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [273]
2.61082s  7.6800us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [274]
