==1519539== NVPROF is profiling process 1519539, command: ./RN 1
==1519539== Error: File already exists: /playpen/leochanj/fgpure/Modified-NVIDIA-Linux-x86_64-460.67/ResNet/test.profout
==1519539== Use "-f" to overwrite existing file
==1519539== Profiling application: ./RN 1
==1519539== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.8e+10s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  60.289us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [264]
1.8e+10s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  41.249us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [267]
1.8e+10s  23.808us                    -               -         -         -         -  128.00KB  5.1273GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.0776ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [269]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  17.824us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [272]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  11.936us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [275]
1.8e+10s  8.0000us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [276]
1.8e+10s  97.218us                    -               -         -         -         -  576.00KB  5.6504GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
